id,listing_url,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
41617857,https://www.airbnb.com/rooms/41617857,1.0,2.0,$107.00,179,4.62,4.68,4.63
41618046,https://www.airbnb.com/rooms/41618046,2.0,3.0,$385.00,2,5.0,5.0,5.0
41621746,https://www.airbnb.com/rooms/41621746,2.0,1.0,$114.00,0,,,
41637187,https://www.airbnb.com/rooms/41637187,1.0,2.0,$113.00,68,4.97,4.97,4.9
41637658,https://www.airbnb.com/rooms/41637658,3.0,4.0,$230.00,21,4.81,4.95,4.76
41662125,https://www.airbnb.com/rooms/41662125,3.0,3.0,$750.00,0,,,
41682653,https://www.airbnb.com/rooms/41682653,4.0,7.0,$313.00,126,4.7,4.71,4.67
41687972,https://www.airbnb.com/rooms/41687972,4.0,8.0,$294.00,122,4.81,4.86,4.84
41688983,https://www.airbnb.com/rooms/41688983,,2.0,$109.00,58,4.98,5.0,4.86
41692584,https://www.airbnb.com/rooms/41692584,3.0,2.0,$115.00,20,4.35,4.5,4.45
41692688,https://www.airbnb.com/rooms/41692688,1.0,1.0,$197.00,37,4.95,4.97,4.86
41693961,https://www.airbnb.com/rooms/41693961,2.0,3.0,$128.00,2,5.0,5.0,5.0
41706632,https://www.airbnb.com/rooms/41706632,1.0,2.0,$100.00,10,5.0,5.0,4.8
41708281,https://www.airbnb.com/rooms/41708281,1.0,1.0,$133.00,10,4.8,5.0,4.5
41716571,https://www.airbnb.com/rooms/41716571,4.0,3.0,$800.00,6,5.0,5.0,4.83
41718003,https://www.airbnb.com/rooms/41718003,3.0,4.0,$1000.00,0,,,
41721045,https://www.airbnb.com/rooms/41721045,1.0,1.0,$266.00,9,5.0,5.0,5.0
41724606,https://www.airbnb.com/rooms/41724606,1.0,1.0,$325.00,7,5.0,5.0,5.0
41748157,https://www.airbnb.com/rooms/41748157,3.0,5.0,$261.00,63,4.81,4.67,4.52
